zaxis,yaxis,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Nd,Sm,Gd,Dy,Er,Yb,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
H,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,Li,0, ,-5.906868524,0,-1.284683724,0,6.400967615,14.36682689,7.911763132,-0.581430039,-8.05204008,24.78612504,-1.864855507,0,0,8.162911222,-0.621989268,0,1.396108295,0.627927498,0,1.224208855,0.075134847,0,0,0,0.806700532,0,0,3.494435098,0,0,1.007105654,0,0,-0.557973425,0,0,0,0,0,0,0,0,0.052003799,0,0,0,2.572789896,0,0,0,0,0,0,0,0,0,0,0.01770486,0,0,0,0,0,0,0,0,0,0,0,0
H,Be,0,-5.906868524, ,0.966810627,0,0,-8.841519942,0.333573693,-0.828768379,0.124098869,1.389898386,11.71370153,-4.83400395,6.34596594,1.660705601,0.137161885,-6.973743514,1.111501708,0.522073391,1.097995253,0.064598443,-0.296836613,0.632686809,0,0,0,-0.117571639,0,0,-2.378826147,0,0,0,0.475896728,2.092519504,0,0,0,0,0,0,0,0,0,-0.076528474,0.867110522,0,0,4.835345052,0.012329667,0,-0.561950899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.648938146,0,0,0
H,B,0,0,0.966810627, ,-1.892641255,-0.398465668,-11.48642853,2.143942121,-0.902209854,-14.98245134,-1.898054496,-4.812365237,-7.452842399,0,-2.847880207,1.159728298,-7.801860998,0,1.168309464,0,-0.125834563,0.856911276,2.759603604,0,1.727759275,-7.649823988,3.730607169,0,0,6.960098266,0,0,0,-0.008393621,2.014750508,-0.712286093,0.813735365,0,0,0,0,0,0,0,0.056712099,1.755197766,0,0,1.651687662,0.052925981,0.006087639,-0.243912796,0,0,0,0,0,0,0,0.050659741,0,0,0,0,0,0,0,0,-4.583538974,0,-0.161886929,0
H,C,0,-1.284683724,0,-1.892641255, ,0,-5.85890585,1.121601413,-2.096278219,-0.026752088,-4.903827596,-13.10274838,-6.077200971,-6.470430042,-0.002436877,-3.600633552,-2.616345775,0,4.97269876,4.486621006,0.082050869,-4.429898131,-12.89827571,-0.139977448,-0.711807534,-1.902514828,-1.454379756,0,0,0,0,0.092493757,0,2.587193139,-9.602003476,-0.061868197,-1.821623224,0,0,0,0,0,0.152430929,0,0,0,-1.861149897,0.09664033,0,1.597378144,4.646622111,14.72022617,-6.520655307,0,0,0,0,0,0,0.33370674,0.165183351,0,0,0,0,0,-0.01788958,0,-0.788791286,2.642185278,0,-0.737704897
H,N,0,0,0,-0.398465668,0, ,-6.506838234,0,-1.029102134,0,0,-6.616025002,0,-7.256533788,0,-0.001221971,0,0,1.535258344,0,0.018980635,0,-0.642917186,0,-0.719454304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997231469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.107175774,0,0,0,0,0
H,O,0,6.400967615,-8.841519942,-11.48642853,-5.85890585,-6.506838234, ,10.39938887,-46.43306869,-29.7323846,-29.27547178,-87.00061966,-14.93757144,-121.7521912,-2.09332453,-12.4037682,-61.84901984,1.919342918,22.94274689,-6.918340067,0.786051463,-17.52851189,-1.898555241,-6.015127893,-21.24427837,-32.17676552,-0.176109504,0,-3.293950788,-22.52689626,18.39861685,0.204564842,0.202536603,-6.271676937,-7.06232648,-8.512864119,-8.094507624,-0.418590331,0,0,20.46185243,-54.96643208,-2.135738313,0,7.506557518,22.7212438,9.121742096,-0.996789879,-0.426452716,-12.57449613,3.758652934,8.697056287,-1.406233035,0.401735674,0,0.400447395,0,0.426250241,0.400447395,6.838317188,0.64244015,0,0,0,0,8.91493742,9.084253168,-16.76243228,-17.20177292,26.50117933,-1.76839607,-4.78098875
H,F,0,14.36682689,0.333573693,2.143942121,1.121601413,0,10.39938887, ,52.04164337,5.05665555,-16.99746917,24.65018324,4.855752429,-13.41300651,0.531611127,5.195745862,30.87124371,0,-15.27648335,-2.147385823,-0.735939079,-0.119004374,1.79355523,0,0,0,-3.402196322,0,0,8.544307154,0,0,0.202870548,4.280598607,17.17001086,1.443002562,-8.69078222,0,0,0,0,4.731487728,0,0,2.001201118,6.529107258,0,0,-4.195193361,14.5331209,2.409784012,11.77704544,1.335468588,0,0,0,0,0,0,0.225244566,0,0,0,0,0,0,0,0,4.861303616,4.134708567,-0.320241884,-1.280233123
H,Na,0,7.911763132,-0.828768379,-0.902209854,-2.096278219,-1.029102134,-46.43306869,52.04164337, ,-4.795895546,-7.171616689,-89.94940394,0.969064891,-7.581186396,-0.771016878,-33.75265784,-20.51742332,-0.008723645,-35.67746591,-2.299518118,-0.977771438,-3.482417022,-0.620918432,0,0,20.81695774,-7.814073832,0,0,-15.88083243,-4.554320178,0,0,-14.84539848,-1.334802799,-30.95485609,-18.07672112,-0.46822064,0,0,0,0,0,0,-3.351042731,7.01600133,0,-0.025127526,-0.37688351,-4.724075352,0.975858119,5.989494708,0.741693687,0,0,0,0,0,0,0.105678678,0,0,0,0,0,0,0,0,22.02559997,9.189294449,-0.320889225,-3.370113994
H,Mg,0,-0.581430039,0.124098869,-14.98245134,-0.026752088,0,-29.7323846,5.05665555,-4.795895546, ,-20.74051255,-12.65279225,-0.518437555,-10.22581563,-1.149479529,-1.648390123,-1.999019455,-0.171899077,0.152242651,-1.990782149,2.898489565,-0.593496038,-4.114592905,0,0,-13.86622823,-1.389102769,0,0,-5.815203022,0,0,0,-1.796002941,2.928054123,1.411618207,-2.384641511,-0.566637719,0,0,0,0,0,0,-1.234711956,3.586097933,-2.253293244,0,0,0.442499221,-0.083825891,0.774335118,0,0,0,0,0,0,0,1.40356509,-0.123612729,0,0,0,0,0,0,0,-12.96150983,0,0,0
